cust_number,clear_date,due_in_date,total_open_amount,cust_payment_terms,Delay,Weekday,cust_number_mean,cust_pt_mean,due_m,create_m,Aging bucket
0200769623,2020-03-13,2020-03-13,1898.9,NAH4,0,3,-2.1254432624113475,-1.7752659574468086,3,2,0-15 days
0200762301,2020-04-16,2020-04-16,3196.43,NAC6,0,2,0.281648675171737,0.6570702794242168,4,4,0-15 days
0200744019,2020-04-22,2020-04-22,115805.79,NAA8,0,1,3.198996655518395,1.3544147208906758,4,4,0-15 days
0200744019,2020-05-10,2020-05-10,15077.71,NAA8,0,5,3.198996655518395,1.3544147208906758,5,4,0-15 days
0200726979,2020-03-29,2020-03-29,173.56,NAA8,0,5,0.9880952380952381,1.3544147208906758,3,3,0-15 days
0200762301,2020-03-22,2020-03-22,1639.87,NAC6,0,5,0.281648675171737,0.6570702794242168,3,3,0-15 days
0200794332,2020-04-19,2020-04-19,32715.47,NAAX,0,5,-0.2018348623853211,0.07539682539682539,4,4,0-15 days
0200769623,2020-04-11,2020-04-11,4752.6,NAH4,0,4,-2.1254432624113475,-1.7752659574468086,4,3,0-15 days
0200769623,2020-03-28,2020-03-28,28994.35,NAH4,0,4,-2.1254432624113475,-1.7752659574468086,3,3,0-15 days
0200748108,2020-05-15,2020-05-15,51808.81,NAA8,0,3,0.821917808219178,1.3544147208906758,5,4,0-15 days
0200762301,2020-03-31,2020-03-31,7970.3,NAC6,0,0,0.281648675171737,0.6570702794242168,3,3,0-15 days
0200769623,2020-04-18,2020-04-18,15605.54,NAH4,0,4,-2.1254432624113475,-1.7752659574468086,4,4,0-15 days
0200769623,2020-04-09,2020-04-09,36621.35,NAH4,0,2,-2.1254432624113475,-1.7752659574468086,4,3,0-15 days
0200744019,2020-04-05,2020-04-05,5507.48,NAA8,0,5,3.198996655518395,1.3544147208906758,4,3,0-15 days
0200777735,2020-03-18,2020-03-18,39379.37,NAA8,0,1,-2.4867256637168142,1.3544147208906758,3,3,0-15 days
0200769623,2020-03-29,2020-03-29,7468.72,NAH4,0,5,-2.1254432624113475,-1.7752659574468086,3,3,0-15 days
0200920735,2020-04-03,2020-04-03,118935.92,NAA8,0,3,0.7671232876712328,1.3544147208906758,4,3,0-15 days
0200799367,2020-03-25,2020-03-25,102023.84,NAA8,0,1,2.8860759493670884,1.3544147208906758,3,3,0-15 days
0200769623,2020-04-16,2020-04-16,661.11,NAH4,0,2,-2.1254432624113475,-1.7752659574468086,4,4,0-15 days
0200705742,2020-05-27,2020-05-27,122.42,NAD1,0,3,-7.0807692307692305,0.27672955974842767,5,5,0-15 days
0200769623,2020-04-03,2020-04-03,14912.08,NAH4,0,3,-2.1254432624113475,-1.7752659574468086,4,3,0-15 days
0200806580,2020-05-15,2020-05-15,3891.92,NAA8,0,3,-5.518518518518518,1.3544147208906758,5,4,0-15 days
0140104423,2020-04-03,2020-04-03,43047.27,CA10,0,5,0.38392857142857145,6.328484848484848,4,3,0-15 days
0200794332,2020-05-06,2020-05-06,98635.05,NAAX,0,1,-0.2018348623853211,0.07539682539682539,5,4,0-15 days
0200770567,2020-03-18,2020-03-18,51147.22,NAA8,0,1,7.3076923076923075,1.3544147208906758,3,3,0-15 days
0200778998,2020-05-27,2020-05-27,101364.2,NAA8,0,1,-3.0384615384615383,1.3544147208906758,5,5,0-15 days
0200748108,2020-03-29,2020-03-29,41842.58,NAA8,0,5,0.821917808219178,1.3544147208906758,3,3,0-15 days
0200769623,2020-05-07,2020-05-07,850.22,NAH4,0,2,-2.1254432624113475,-1.7752659574468086,5,4,0-15 days
0200769623,2020-04-09,2020-04-09,14461.53,NAH4,0,2,-2.1254432624113475,-1.7752659574468086,4,3,0-15 days
0140104440,2020-04-27,2020-04-27,150928.23,CA10,0,3,5.482352941176471,6.328484848484848,4,4,0-15 days
0200726979,2020-04-04,2020-04-04,752.63,NAA8,0,4,0.9880952380952381,1.3544147208906758,4,3,0-15 days
0200794332,2020-04-14,2020-04-14,1630.22,NAAX,0,0,-0.2018348623853211,0.07539682539682539,4,3,0-15 days
0140105847,2020-03-22,2020-03-22,573.28,CA10,0,3,5.914529914529915,6.328484848484848,3,3,0-15 days
0200769623,2020-05-17,2020-05-17,9936.4,NAH4,0,5,-2.1254432624113475,-1.7752659574468086,5,5,0-15 days
0200769623,2020-03-21,2020-03-21,15153.11,NAH4,0,4,-2.1254432624113475,-1.7752659574468086,3,3,0-15 days
0200739534,2020-05-16,2020-05-16,42160.09,NAA8,0,4,1.0491803278688525,1.3544147208906758,5,5,0-15 days
0200759878,2020-05-12,2020-05-12,4467.76,NAH4,0,0,1.3376777251184835,-1.7752659574468086,5,4,0-15 days
0100031704,2020-05-14,2020-05-14,66744.2,NAA8,0,2,0.9877049180327869,1.3544147208906758,5,4,0-15 days
0200799538,2020-06-21,2020-06-21,12392.67,NAGD,0,4,-5.709677419354839,-11.340659340659341,6,4,0-15 days
0200752302,2020-04-25,2020-04-25,53563.47,NAA8,0,4,0.7407407407407407,1.3544147208906758,4,4,0-15 days
0200769623,2020-04-09,2020-04-09,63613.21,NAH4,0,2,-2.1254432624113475,-1.7752659574468086,4,3,0-15 days
0200704045,2020-03-13,2020-03-13,12801.48,NAA8,0,3,0.4954128440366973,1.3544147208906758,3,2,0-15 days
0140104409,2020-04-20,2020-04-20,4868.46,CA10,0,2,2.2680722891566263,6.328484848484848,4,4,0-15 days
0140105686,2020-03-28,2020-03-28,947.0,CA10,0,0,7.031818181818182,6.328484848484848,3,3,0-15 days
0140104440,2020-04-09,2020-04-09,109146.31,CA10,0,0,5.482352941176471,6.328484848484848,4,3,0-15 days
0200793830,2020-05-23,2020-05-23,41407.25,NAA8,0,4,-2.0185185185185186,1.3544147208906758,5,5,0-15 days
0200799342,2020-03-14,2020-03-14,58887.61,NAA8,0,4,-5.769230769230769,1.3544147208906758,3,2,0-15 days
0200466603,2020-04-16,2020-04-16,67738.34,NAA8,0,2,0.958904109589041,1.3544147208906758,4,4,0-15 days
0100043936,2020-05-16,2020-05-16,17232.81,NA10,0,2,0.7222222222222222,3.743682310469314,5,5,0-15 days
0140104440,2020-04-27,2020-04-27,57645.77,CA10,0,4,5.482352941176471,6.328484848484848,4,4,0-15 days
200799367,2020-04-02,2020-04-02,61829.56,NAA8,0,2,1.5416666666666667,1.3544147208906758,4,3,0-15 days
0200769623,2020-05-20,2020-05-20,23022.3,NAH4,0,1,-2.1254432624113475,-1.7752659574468086,5,5,0-15 days
0200418007,2020-04-29,2020-04-29,3026.4,NAA8,0,1,-1.977591036414566,1.3544147208906758,4,4,0-15 days
0200792734,2020-03-15,2020-03-15,1000.17,NAA8,0,5,3.3333333333333335,1.3544147208906758,3,2,0-15 days
0200353024,2020-03-24,2020-03-24,2549.56,NAM4,0,3,1.420071105365223,1.420071105365223,3,3,0-15 days
0200794332,2020-03-27,2020-03-27,3289.14,NAAX,0,3,-0.2018348623853211,0.07539682539682539,3,3,0-15 days
0200759878,2020-05-26,2020-05-26,138612.12,NAWP,0,5,1.3376777251184835,-8.0,5,4,0-15 days
0200769623,2020-04-16,2020-04-16,43975.1,NAH4,0,2,-2.1254432624113475,-1.7752659574468086,4,4,0-15 days
0200726979,2020-04-16,2020-04-16,33258.35,NAA8,0,2,0.9880952380952381,1.3544147208906758,4,4,0-15 days
0200416837,2020-03-26,2020-03-26,2761.94,NAM2,0,0,1.420071105365223,1.420071105365223,3,4,0-15 days
0200761734,2020-04-09,2020-04-09,32073.34,NAA8,0,2,-2.7335907335907335,1.3544147208906758,4,3,0-15 days
0200792734,2020-05-04,2020-05-04,17935.94,NAA8,0,6,3.3333333333333335,1.3544147208906758,5,4,0-15 days
0200743996,2020-04-06,2020-04-06,43462.04,NAA8,0,6,-3.0588235294117645,1.3544147208906758,4,3,0-15 days
0200466603,2020-05-17,2020-05-17,5135.07,NAGD,0,4,0.958904109589041,-11.340659340659341,5,3,0-15 days
0200783317,2020-05-17,2020-05-17,43649.92,NAA8,0,5,-1.5,1.3544147208906758,5,5,0-15 days
0200526831,2020-04-15,2020-04-15,82486.28,NAA8,0,1,0.3142857142857143,1.3544147208906758,4,3,0-15 days
0200772670,2020-04-09,2020-04-09,26228.11,NAU5,0,2,2.0064935064935066,2.1217532467532467,4,3,0-15 days
0200875006,2020-03-27,2020-03-27,114141.76,NAA8,0,3,0.8,1.3544147208906758,3,3,0-15 days
0200769623,2020-05-02,2020-05-02,58262.2,NAH4,0,4,-2.1254432624113475,-1.7752659574468086,5,4,0-15 days
0200148860,2020-04-28,2020-04-28,85089.57,NAA8,0,0,-5.317073170731708,1.3544147208906758,4,4,0-15 days
0200706844,2020-05-19,2020-05-19,48589.17,NAA8,0,0,0.20973782771535582,1.3544147208906758,5,5,0-15 days
0200769623,2020-03-26,2020-03-26,42820.82,NAH4,0,2,-2.1254432624113475,-1.7752659574468086,3,3,0-15 days
0200794332,2020-03-27,2020-03-27,31066.52,NAAX,0,3,-0.2018348623853211,0.07539682539682539,3,3,0-15 days
0140104423,2020-05-01,2020-05-01,101778.82,CA10,0,6,0.38392857142857145,6.328484848484848,5,4,0-15 days
0200769623,2020-03-21,2020-03-21,17219.66,NAH4,0,4,-2.1254432624113475,-1.7752659574468086,3,3,0-15 days
0200769623,2020-05-14,2020-05-14,48046.58,NAH4,0,2,-2.1254432624113475,-1.7752659574468086,5,4,0-15 days
0200769623,2020-05-20,2020-05-20,1518.56,NAH4,0,1,-2.1254432624113475,-1.7752659574468086,5,5,0-15 days
0200943423,2020-04-11,2020-04-11,13226.05,NAA8,0,4,1.420071105365223,1.3544147208906758,4,3,0-15 days
0200229974,2020-05-13,2020-05-13,16231.05,NAA8,0,1,3.3,1.3544147208906758,5,4,0-15 days
200789077,2020-05-14,2020-05-14,6055.26,NAA8,0,2,3.0,1.3544147208906758,5,4,0-15 days
0200744019,2020-04-19,2020-04-19,6771.64,NAA8,0,5,3.198996655518395,1.3544147208906758,4,4,0-15 days
0140104409,2020-04-12,2020-04-12,112698.32,CA10,0,2,2.2680722891566263,6.328484848484848,4,4,0-15 days
0200592182,2020-04-24,2020-04-24,14956.0,NAM4,0,3,1.420071105365223,1.420071105365223,4,4,0-15 days
0200759878,2020-05-14,2020-05-14,14360.06,NAH4,0,2,1.3376777251184835,-1.7752659574468086,5,4,0-15 days
0200877212,2020-05-02,2020-05-02,11725.44,NAA8,0,4,11.0,1.3544147208906758,5,4,0-15 days
0200707822,2020-03-13,2020-03-13,22432.85,NAA8,0,3,0.8558139534883721,1.3544147208906758,3,2,0-15 days
0200794332,2020-04-25,2020-04-25,1555.94,NAAX,0,4,-0.2018348623853211,0.07539682539682539,4,4,0-15 days
0140104225,2020-03-21,2020-03-21,14492.19,CA10,0,1,-0.3157894736842105,6.328484848484848,3,3,0-15 days
0200705372,2020-03-25,2020-03-25,63289.53,NAA8,0,1,0.7162162162162162,1.3544147208906758,3,3,0-15 days
0200744019,2020-04-29,2020-04-29,758.82,NAA8,0,1,3.198996655518395,1.3544147208906758,4,4,0-15 days
0140104240,2020-05-20,2020-05-20,3105.34,CA10,0,2,-1.0,6.328484848484848,5,5,0-15 days
0200337148,2020-03-25,2020-03-25,26248.31,NAA8,0,1,-0.1,1.3544147208906758,3,3,0-15 days
0200769623,2020-05-22,2020-05-22,2352.97,NAH4,0,3,-2.1254432624113475,-1.7752659574468086,5,5,0-15 days
0200439158,2020-05-01,2020-05-01,35064.0,NAA8,0,3,5.304347826086956,1.3544147208906758,5,4,0-15 days
0200148860,2020-04-07,2020-04-07,9865.8,NAA8,0,0,-5.317073170731708,1.3544147208906758,4,3,0-15 days
0200769623,2020-04-28,2020-04-28,7216.3,NAH4,0,0,-2.1254432624113475,-1.7752659574468086,4,4,0-15 days
0140104240,2020-04-24,2020-04-22,214059.87,CA10,2,4,-1.0,6.328484848484848,4,4,0-15 days
0200799367,2020-05-19,2020-05-19,58303.4,NAA8,0,0,2.8860759493670884,1.3544147208906758,5,5,0-15 days
0200772595,2020-04-08,2020-04-08,23622.55,NAA8,0,1,0.8494623655913979,1.3544147208906758,4,3,0-15 days
0200148860,2020-04-10,2020-04-10,13808.9,NAA8,0,3,-5.317073170731708,1.3544147208906758,4,3,0-15 days
0200759878,2020-05-08,2020-05-08,63820.42,NAH4,0,3,1.3376777251184835,-1.7752659574468086,5,4,0-15 days
0200769623,2020-03-30,2020-03-30,29112.91,NAH4,0,6,-2.1254432624113475,-1.7752659574468086,3,3,0-15 days
0200769623,2020-04-04,2020-04-04,3270.04,NAH4,0,4,-2.1254432624113475,-1.7752659574468086,4,3,0-15 days
0200416837,2020-04-26,2020-04-26,3233.82,NAM2,0,2,1.420071105365223,1.420071105365223,4,4,0-15 days
200769623,2020-04-21,2020-04-21,50776.26,NAH4,0,0,-2.2663817663817665,-1.7752659574468086,4,4,0-15 days
0200148860,2020-05-20,2020-05-20,104473.95,NAA8,0,1,-5.317073170731708,1.3544147208906758,5,5,0-15 days
0140104423,2020-03-21,2020-03-21,17144.95,CA10,0,0,0.38392857142857145,6.328484848484848,3,3,0-15 days
0200706844,2020-04-30,2020-04-30,35944.05,NAA8,0,2,0.20973782771535582,1.3544147208906758,4,4,0-15 days
0200762301,2020-05-14,2020-05-14,101376.05,NAC6,0,2,0.281648675171737,0.6570702794242168,5,4,0-15 days
0200762301,2020-06-05,2020-06-05,7943.13,NAGD,0,2,0.281648675171737,-11.340659340659341,6,4,0-15 days
0200739006,2020-05-14,2020-05-14,33248.98,NAA8,0,2,-0.4177215189873418,1.3544147208906758,5,4,0-15 days
0200780383,2020-04-16,2020-04-16,83597.84,NAA8,0,2,1.4654654654654655,1.3544147208906758,4,4,0-15 days
0200769623,2020-03-13,2020-03-13,65969.69,NAH4,0,3,-2.1254432624113475,-1.7752659574468086,3,2,0-15 days
200769623,2020-05-26,2020-05-26,11455.61,NAH4,0,0,-2.2663817663817665,-1.7752659574468086,5,5,0-15 days
0140104423,2020-04-26,2020-04-26,55585.45,CA10,0,1,0.38392857142857145,6.328484848484848,4,4,0-15 days
0200148860,2020-05-20,2020-05-20,37359.78,NAA8,0,1,-5.317073170731708,1.3544147208906758,5,5,0-15 days
0200706844,2020-04-17,2020-04-17,35291.89,NAA8,0,3,0.20973782771535582,1.3544147208906758,4,4,0-15 days
0200726979,2020-04-19,2020-04-19,518.13,NAA8,0,5,0.9880952380952381,1.3544147208906758,4,4,0-15 days
0200769623,2020-04-13,2020-04-13,24429.31,NAH4,0,6,-2.1254432624113475,-1.7752659574468086,4,3,0-15 days
200769623,2020-05-24,2020-05-24,3482.23,NAH4,0,5,-2.2663817663817665,-1.7752659574468086,5,5,0-15 days
200769623,2020-05-27,2020-05-27,14565.04,NAH4,0,1,-2.2663817663817665,-1.7752659574468086,5,5,0-15 days
0200769623,2020-05-26,2020-05-26,13864.46,NAH4,0,0,-2.1254432624113475,-1.7752659574468086,5,5,0-15 days
0200712187,2020-04-23,2020-04-23,17513.95,NAA8,0,2,-0.5,1.3544147208906758,4,4,0-15 days
0200729290,2020-04-01,2020-04-01,137086.34,NAA8,0,1,1.1041666666666667,1.3544147208906758,4,3,0-15 days
0200759878,2020-03-16,2020-03-16,14342.89,NAH4,0,6,1.3376777251184835,-1.7752659574468086,3,3,0-15 days
0200769623,2020-03-26,2020-03-26,6532.6,NAH4,0,2,-2.1254432624113475,-1.7752659574468086,3,3,0-15 days
0200769623,2020-03-27,2020-03-27,50130.65,NAH4,0,3,-2.1254432624113475,-1.7752659574468086,3,3,0-15 days
0200769623,2020-04-21,2020-04-21,62303.74,NAH4,0,0,-2.1254432624113475,-1.7752659574468086,4,4,0-15 days
0200769623,2020-03-27,2020-03-27,2019.69,NAH4,0,3,-2.1254432624113475,-1.7752659574468086,3,3,0-15 days
0140106408,2020-05-03,2020-05-03,44305.56,CA10,0,2,9.36624203821656,6.328484848484848,5,4,0-15 days
0200775094,2020-05-08,2020-05-08,26911.93,NAA8,0,3,-0.6666666666666666,1.3544147208906758,5,4,0-15 days
0200769623,2020-04-22,2020-04-22,13594.01,NAH4,0,1,-2.1254432624113475,-1.7752659574468086,4,4,0-15 days
0200769623,2020-03-28,2020-03-28,542.11,NAH4,0,4,-2.1254432624113475,-1.7752659574468086,3,3,0-15 days
200797984,2020-05-20,2020-05-20,61078.87,NAA8,0,1,0.0,1.3544147208906758,5,5,0-15 days
0200742521,2020-04-02,2020-04-02,20352.68,NAA8,0,2,5.416666666666667,1.3544147208906758,4,3,0-15 days
0200230690,2020-04-08,2020-04-08,54.0,NAM4,0,4,6.0,1.420071105365223,4,3,0-15 days
0200418007,2020-05-08,2020-05-08,6635.52,NAA8,0,3,-1.977591036414566,1.3544147208906758,5,4,0-15 days
0200434439,2020-04-19,2020-04-19,6571.44,NA32,0,2,0.1016949152542373,-3.4711729622266403,4,3,0-15 days
0200729942,2020-05-20,2020-05-20,4363.88,NAGD,0,0,0.059602649006622516,-11.340659340659341,5,3,0-15 days
0200705742,2020-05-08,2020-05-08,2229.37,NAA8,0,3,-7.0807692307692305,1.3544147208906758,5,4,0-15 days
0200759878,2020-04-16,2020-04-16,2248.17,NAH4,0,2,1.3376777251184835,-1.7752659574468086,4,4,0-15 days
0200782669,2020-04-09,2020-04-09,34667.72,NAD1,0,4,-0.23655913978494625,0.27672955974842767,4,3,0-15 days
200776463,2020-04-12,2020-04-12,21119.61,NAA8,0,5,0.5263157894736842,1.3544147208906758,4,3,0-15 days
0200726979,2020-03-18,2020-03-18,330.15,NAA8,0,1,0.9880952380952381,1.3544147208906758,3,3,0-15 days
0200353024,2020-04-11,2020-04-11,8609.53,NAM2,0,1,1.420071105365223,1.420071105365223,4,4,0-15 days
0200152991,2020-05-15,2020-05-15,929.07,NAA8,0,3,1.5274725274725274,1.3544147208906758,5,4,0-15 days
0200418007,2020-03-31,2020-03-31,1757.5,NAA8,0,0,-1.977591036414566,1.3544147208906758,3,3,0-15 days
0200756072,2020-03-29,2020-03-29,82926.0,NAD1,0,0,3.389473684210526,0.27672955974842767,3,3,0-15 days
0200752302,2020-03-26,2020-03-26,71171.2,NAA8,0,2,0.7407407407407407,1.3544147208906758,3,3,0-15 days
0200794332,2020-04-18,2020-04-18,8793.09,NAAX,0,4,-0.2018348623853211,0.07539682539682539,4,4,0-15 days
0200418007,2020-05-13,2020-05-13,27033.36,NAA8,0,1,-1.977591036414566,1.3544147208906758,5,4,0-15 days
0200707822,2020-03-24,2020-03-24,63074.27,NAA8,0,0,0.8558139534883721,1.3544147208906758,3,3,0-15 days
0200769623,2020-05-19,2020-05-19,26536.2,NAH4,0,0,-2.1254432624113475,-1.7752659574468086,5,5,0-15 days
0200729942,2020-03-20,2020-03-20,26122.32,NAA8,0,3,0.059602649006622516,1.3544147208906758,3,3,0-15 days
0140105847,2020-05-10,2020-05-10,35470.82,CA10,0,2,5.914529914529915,6.328484848484848,5,4,0-15 days
0200353024,2020-03-24,2020-03-24,1299.0,NAM4,0,3,1.420071105365223,1.420071105365223,3,3,0-15 days
0200769623,2020-05-20,2020-05-20,13788.22,NAH4,0,1,-2.1254432624113475,-1.7752659574468086,5,5,0-15 days
200707822,2020-05-19,2020-05-19,140567.14,NAA8,0,0,0.3488372093023256,1.3544147208906758,5,5,0-15 days
0200769623,2020-04-10,2020-04-10,52442.43,NAH4,0,3,-2.1254432624113475,-1.7752659574468086,4,3,0-15 days
0100021540,2020-05-03,2020-05-03,29622.97,NA10,0,3,0.12903225806451613,3.743682310469314,5,4,0-15 days
0200769623,2020-04-17,2020-04-17,41288.22,NAH4,0,3,-2.1254432624113475,-1.7752659574468086,4,4,0-15 days
0200726979,2020-03-18,2020-03-18,68.91,NAA8,0,1,0.9880952380952381,1.3544147208906758,3,3,0-15 days
0200769623,2020-04-27,2020-04-27,8917.51,NAH4,0,6,-2.1254432624113475,-1.7752659574468086,4,4,0-15 days
0200776463,2020-04-30,2020-04-30,24508.26,NAA8,0,2,0.896551724137931,1.3544147208906758,4,4,0-15 days
0140104423,2020-05-03,2020-05-03,159782.56,CA10,0,1,0.38392857142857145,6.328484848484848,5,4,0-15 days
0200769623,2020-03-14,2020-03-14,43688.07,NAH4,0,4,-2.1254432624113475,-1.7752659574468086,3,2,0-15 days
0140104409,2020-04-13,2020-04-13,6586.68,CA10,0,3,2.2680722891566263,6.328484848484848,4,3,0-15 days
0100058365,2020-03-28,2020-03-28,70761.6,NAVE,0,3,1.420071105365223,0.34234234234234234,3,2,0-15 days
0200573068,2020-05-05,2020-05-05,26568.11,NAA8,0,0,-0.125,1.3544147208906758,5,4,0-15 days
200762950,2020-03-29,2020-03-29,38571.82,NAA8,0,5,-1.0,1.3544147208906758,3,3,0-15 days
0200794332,2020-05-22,2020-05-22,8206.89,NA84,0,5,-0.2018348623853211,0.5,5,5,0-15 days
